city,lat,temp,max temp,humidity,cloudiness,wind speed
Yellowknife,62.45,25.27,27.0,79,40,12.75
Fostoria,43.24,40.01,42.8,100,1,10.29
Bethel,60.79,26.15,26.6,92,90,8.05
Kaitangata,-46.28,56.25,56.25,92,68,2.48
Okhotsk,59.36,1.44,1.44,100,24,3.71
Codrington,-28.95,69.62,71.6,94,40,2.59
Tasiilaq,65.61,12.2,12.2,78,75,38.03
Nanortalik,60.14,21.87,21.87,100,44,26.31
Barrow,-38.31,63.18,63.18,86,0,7.63
Kloulklubed,7.04,75.2,75.2,88,75,4.7
Lompoc,34.64,52.38,55.0,81,40,9.17
Shache,38.42,44.01,44.01,97,0,2.93
Arraial do Cabo,-22.97,84.2,84.2,62,75,10.29
Baykit,61.68,25.02,25.02,80,88,10.65
Hasaki,35.73,63.07,64.4,88,40,10.29
Mareeba,-16.99,72.14,73.99,88,90,12.75
Khatanga,71.98,8.28,8.28,86,68,9.86
Torbay,47.66,39.7,42.01,41,75,21.92
Hobart,-42.88,57.58,59.0,87,75,2.71
Talnakh,69.49,23.22,23.22,92,88,10.65
Souillac,45.6,61.27,62.6,29,0,12.75
Meulaboh,4.14,78.3,78.3,100,8,2.71
Kamenka,53.19,31.41,31.41,100,88,4.38
Pevek,69.7,-18.63,-18.63,81,32,2.93
Jamestown,-33.21,56.97,56.97,88,0,4.61
Zhezkazgan,47.8,23.76,23.76,57,0,5.95
East London,-33.02,66.2,66.2,63,0,13.87
Busselton,-33.64,67.62,70.0,53,20,19.15
Rome,41.89,63.34,66.2,42,0,9.17
Partsa,54.37,30.78,30.78,96,56,5.17
Sterling,39.0,43.34,46.4,100,90,9.17
Dagana,16.52,92.07,92.07,19,80,13.44
Marawi,8.0,75.99,75.99,86,0,4.0
Mitsamiouli,-11.38,86.0,86.0,74,20,4.7
Masuguru,-11.38,78.48,78.48,87,20,3.71
Cape Town,-33.93,68.0,68.0,64,20,25.28
Avarua,-21.21,78.8,78.8,94,76,2.24
Jesup,31.61,68.11,72.0,28,1,11.41
San Patricio,-26.98,75.96,75.96,63,0,6.17
Zyryanovsk,49.74,14.67,14.67,71,0,2.26
Ust-Kuyga,70.0,-12.96,-12.96,79,56,5.39
Port Hedland,-20.31,86.0,86.0,74,92,14.99
Saldanha,41.42,55.98,55.98,31,0,5.39
Qasigiannguit,68.82,-7.61,-7.61,48,20,8.05
Los Llanos de Aridane,28.66,64.83,68.0,60,20,16.11
Great Yarmouth,52.61,55.26,57.99,82,75,6.93
Camacha,33.08,64.04,66.2,59,40,17.22
Isangel,-19.55,81.0,81.0,100,88,13.44
Ribeira Grande,38.52,62.6,62.6,72,75,8.05
Walla Walla,46.06,45.32,53.01,70,1,5.82
Rudsar,37.14,49.03,50.0,87,75,4.7
Slavsk,55.05,42.39,42.39,92,92,21.05
Hovd,63.83,39.67,42.01,60,75,20.8
Oda,35.19,52.83,52.83,92,92,16.24
High Level,58.52,39.2,39.2,60,5,8.05
Male,50.74,36.09,36.09,85,0,7.18
Mar del Plata,-46.43,68.76,68.76,41,24,6.62
Westport,53.8,51.6,53.01,87,75,16.11
Walvis Bay,-22.95,65.53,68.0,64,0,11.41
Acari,-6.44,84.78,84.78,63,32,6.4
Yining,29.04,49.23,49.23,94,88,6.17
Lata,30.78,39.69,39.69,63,48,2.59
Nerchinskiy Zavod,51.31,9.27,9.27,64,64,2.71
Parrita,9.52,78.82,80.6,50,20,20.8
Namatanai,-3.66,82.98,82.98,98,48,6.96
Vila Franca do Campo,37.72,58.06,60.8,77,40,6.93
Harper,30.3,64.89,69.01,52,1,4.7
Vila Velha,-3.71,85.91,88.0,62,40,8.05
Henties Bay,-22.12,63.0,63.0,87,0,7.0
Banda Aceh,5.56,74.97,74.97,97,24,1.14
Strezhevoy,60.73,30.2,30.2,92,75,8.95
Vestmanna,62.16,41.0,41.0,100,48,10.29
Uglegorsk,49.08,8.82,8.82,76,88,10.2
Ahipara,-35.17,63.72,63.72,100,8,8.08
Chicama,-7.84,71.6,71.6,78,20,11.41
Nuuk,64.17,1.4,1.4,59,75,8.05
Cherskiy,68.75,-26.1,-26.1,40,0,2.15
Deputatskiy,69.3,-35.19,-35.19,61,0,2.59
Orocue,4.79,96.84,96.84,44,12,8.08
Caraz,-9.05,57.6,57.6,94,88,1.7
Quepos,9.43,78.84,80.6,50,20,20.8
Saint George,39.45,59.0,59.0,54,20,5.82
Poso,-1.4,79.92,79.92,100,32,2.71
Georgetown,6.8,87.12,89.6,74,40,13.87
Wanning,48.64,51.04,55.4,35,0,9.17
Port Alfred,-33.59,64.0,64.0,83,0,1.99
Igboho,8.84,86.22,86.22,52,48,8.41
Husavik,50.56,44.01,44.01,69,0,10.0
Kodiak,39.95,45.63,50.0,42,1,4.7
Wenceslau Braz,-23.87,72.0,72.0,86,44,4.0
Wahiawa,21.5,68.05,69.8,73,1,8.19
Castro,-42.48,50.0,50.0,100,90,11.41
Huarmey,-10.07,79.29,79.29,58,24,3.71
Falmouth,50.16,50.97,52.0,100,40,5.82
Leh,34.16,1.26,1.26,77,68,0.36
Thompson,55.74,32.0,32.0,63,40,17.22
Baft,29.23,42.12,42.12,57,88,5.61
Port Elizabeth,39.31,48.94,51.01,93,90,17.22
Lokosovo,61.13,29.79,29.79,92,80,9.98
Clyde River,70.47,-20.21,-20.21,68,5,2.24
Airai,-8.93,66.87,66.87,87,8,1.7
Lamlash,55.53,53.35,55.4,82,75,8.05
Keelung,25.13,72.19,73.99,83,75,3.36
Hithadhoo,-0.6,85.5,85.5,100,68,5.73
Kavaratti,10.57,83.79,83.79,100,0,8.52
Ceres,-29.88,70.47,70.47,65,0,7.74
Nikolskoye,59.7,39.61,42.8,56,0,4.47
Luderitz,-26.65,64.98,64.98,69,0,18.59
Tapioszele,47.34,53.62,55.4,40,0,3.36
Sorland,67.67,35.6,35.6,74,40,34.45
Tezu,27.93,51.39,51.39,87,92,1.59
Saint-Georges,46.12,43.32,44.01,54,76,5.99
San Carlos,9.66,96.48,96.48,40,8,6.85
Manono,-7.3,71.46,71.46,93,56,9.42
Palimbang,14.9,79.47,81.0,74,75,3.36
Itirucu,-13.53,80.28,80.28,75,88,8.75
Ubaitaba,-14.31,75.2,75.2,100,40,5.82
Destin,30.39,62.91,64.4,36,1,16.11
Jumla,29.28,24.57,24.57,86,56,2.15
Iqaluit,63.75,-11.1,-11.01,69,40,4.7
La Ronge,55.1,39.2,39.2,60,5,6.93
Kailua,21.39,68.05,69.8,73,1,8.19
Oistins,13.07,82.4,82.4,65,75,13.87
New Norfolk,-42.78,57.58,59.0,87,75,2.93
Venado Tuerto,-33.75,72.0,72.0,13,80,4.0
Manta,45.1,38.61,38.61,94,0,2.93
Bilma,18.69,93.42,93.42,14,56,10.2
Bedesa,8.9,69.66,69.66,37,76,3.15
Hamilton,43.26,42.78,48.99,86,90,2.24
Uwajima,33.22,55.89,55.89,83,44,17.02
Sulangan,11.14,80.73,80.73,100,0,16.69
Hermanus,-34.42,68.58,69.01,65,24,8.01
College,64.86,21.72,30.99,73,75,2.48
Sola,58.89,44.1,46.4,81,40,13.87
Bambous Virieux,-20.34,80.62,82.4,78,40,10.29
Gualeguay,-33.15,69.84,69.84,57,24,5.06
Xining,36.62,24.84,24.84,70,92,3.49
Porto Novo,-23.68,68.0,68.0,94,75,4.7
Sahuaripa,29.05,71.1,71.1,39,0,2.59
Bhatkal,13.97,81.72,81.72,100,0,13.78
Qaqortoq,60.72,15.8,15.8,56,75,20.8
Williston,48.15,38.82,42.8,75,1,3.04
Natal,-5.81,90.48,91.4,59,40,11.41
Klaksvik,62.23,41.0,41.0,96,36,10.29
Kalmunai,7.42,74.79,74.79,100,36,1.14
Palauig,15.44,71.46,71.46,100,0,3.15
Pitkyaranta,61.57,30.6,30.6,91,68,9.98
Zhuhai,40.71,28.4,28.4,33,0,4.47
Wadi Musa,30.32,68.0,68.0,40,0,8.05
Cochrane,-47.25,55.4,55.4,62,0,5.82
Paamiut,61.99,16.65,16.65,100,64,12.66
Merauke,-8.49,81.36,81.36,91,80,16.46
Otane,-39.89,55.99,55.99,94,32,2.59
Trabzon,41.01,48.07,48.2,76,75,1.03
Fortuna,38.18,60.19,62.6,41,20,18.34
Dobroye,52.86,30.96,30.96,96,24,4.16
Grand Gaube,-20.01,80.98,82.4,78,40,10.29
Beterou,9.2,84.96,84.96,60,36,3.6
Narsaq,60.91,15.8,15.8,56,75,20.8
Coahuayana,18.62,84.87,84.87,26,0,3.15
Kahului,20.89,65.61,68.0,82,20,4.7
Shitkino,56.37,22.77,22.77,80,48,3.83
Kotelnich,58.31,29.7,29.7,92,20,5.39
Beloha,-25.17,77.76,77.76,70,100,8.3
Severo-Kurilsk,50.68,19.8,19.8,100,44,3.6
Pundaguitan,6.37,79.83,79.83,100,92,8.41
Temiscaming,46.72,35.15,36.0,100,90,16.11
Vostok,46.45,16.83,16.83,74,76,2.71
Rio Verde de Mato Grosso,-18.92,81.0,81.0,73,56,6.96
Carnarvon,-30.97,67.41,67.41,28,0,11.77
Puerto Escondido,15.86,82.4,82.4,65,20,8.05
Staryy Nadym,65.61,25.92,25.92,88,80,7.96
Vestmannaeyjar,63.44,35.6,35.6,84,75,16.11
Coihaique,-45.58,58.3,60.8,44,40,6.93
Millinocket,45.66,40.78,45.0,52,75,5.82
Tazovskiy,67.47,26.1,26.1,90,88,9.64
Vanimo,-2.67,81.81,81.81,100,64,16.91
Kirakira,-10.46,83.43,83.43,100,68,8.41
Yulara,-25.24,82.4,82.4,23,0,6.93
Altay,47.83,0.81,0.81,58,0,2.15
Sioux Lookout,50.1,38.48,39.2,69,20,12.75
Hofn,64.25,39.2,39.2,69,40,11.41
Sambava,-14.27,83.16,83.16,100,56,15.46
Coolum Beach,-26.53,72.99,73.99,81,36,2.82
Olga,34.11,54.46,59.0,81,90,6.93
Chuy,-33.69,63.0,63.0,100,92,7.52
Buala,-8.15,78.48,78.48,100,92,4.61
Ilulissat,69.22,-7.61,-7.61,48,20,8.05
Cabo San Lucas,22.89,77.81,82.99,26,5,2.24
Labuhan,-2.54,76.32,76.32,87,92,1.7
Angoche,-16.23,83.97,83.97,97,36,12.77
Kulachi,31.93,49.41,49.41,78,0,1.7
Bucerias,20.76,78.31,80.01,57,5,8.3
Taoudenni,22.68,84.15,84.15,9,88,0.58
Ahuimanu,21.44,68.05,69.8,73,1,8.19
Boende,-0.28,78.3,78.3,81,32,1.81
Aguimes,27.91,69.26,69.8,64,20,27.51
Yumen,40.29,21.24,21.24,65,0,4.05
Kudahuvadhoo,2.67,84.06,84.06,100,56,14.23
Mahebourg,-20.41,80.55,82.4,78,40,10.29
Xinxiang,35.3,38.7,38.7,63,48,1.03
Konevo,41.67,50.31,50.31,49,8,8.97
Murgab,37.5,47.61,47.61,90,88,4.38
Belle Fourche,44.67,52.25,57.0,34,1,1.59
Saint-Philippe,45.36,42.06,44.6,56,90,8.05
Ituiutaba,-18.97,78.3,78.3,90,44,9.19
Auki,12.18,90.63,90.63,35,68,6.4
Mehamn,71.03,29.64,32.0,86,40,11.41
Lorengau,-2.02,80.37,80.37,100,32,5.17
Road Town,18.42,82.45,84.2,61,20,10.29
Ocala,29.19,70.63,73.0,30,1,10.29
Szentgotthard,46.95,50.58,52.0,34,0,2.24
Chanute,37.68,50.02,53.6,66,0,5.82
Oksfjord,70.24,31.48,33.8,100,0,6.93
Axim,4.87,78.3,78.3,100,92,9.31
Cidreira,-30.17,72.9,72.9,71,12,9.98
Sabha,27.03,70.47,70.47,36,0,8.41
Poum,41.28,42.12,42.12,76,8,1.92
Goderich,43.74,38.89,41.0,86,76,1.99
Tanout,14.97,92.16,92.16,20,0,2.71
Salinopolis,-0.61,79.65,79.65,100,88,5.28
Zlotoryja,51.13,49.53,55.0,62,0,4.7
Nokaneng,-19.66,87.66,87.66,26,0,6.96
Gilgit,35.92,20.52,20.52,91,88,0.81
Jiexiu,37.02,24.3,24.3,68,8,2.48
Atar,20.52,96.48,96.48,8,80,5.17
Thunder Bay,48.41,45.86,46.99,52,20,16.11
Minot,48.23,39.33,42.8,70,1,10.29
Praya,-8.71,78.8,78.8,100,40,4.7
Wewak,-3.55,75.87,75.87,98,64,3.6
Zelenoborsk,61.47,24.75,24.75,88,0,4.16
Amboasary,-25.04,80.6,80.6,83,75,4.7
Alofi,-19.06,75.2,75.2,88,92,4.7
Serebryansk,49.68,13.77,13.77,63,0,2.04
Ulladulla,-35.36,64.44,66.2,100,75,7.18
Ixtapa,20.71,77.9,79.0,57,5,2.15
Sao Joao da Barra,-21.64,82.4,82.4,65,40,6.93
Issoudun,46.95,61.99,62.6,27,0,11.41
Sur,22.57,73.26,73.26,93,0,11.99
Medicine Hat,50.04,39.2,39.2,63,5,3.6
Masterton,-40.95,56.66,57.99,86,56,2.26
Yar-Sale,66.83,21.24,21.24,82,44,11.88
Payakumbuh,-0.23,70.74,70.74,93,32,2.26
Cariamanga,-4.33,78.8,78.8,69,20,3.36
Inuvik,68.36,16.54,17.6,78,90,8.05
Port Hardy,50.7,42.8,42.8,81,40,3.36
Fuyang,32.89,47.34,47.34,54,92,8.3
Avera,33.19,64.08,66.0,36,75,3.36
Guerrero Negro,27.97,65.97,65.97,51,56,10.87
Msanga,-6.04,74.88,74.88,68,48,4.16
Jingcheng,24.58,68.0,68.0,94,0,6.71
Tuatapere,-46.13,59.0,59.0,93,88,2.93
Sao Filipe,14.9,71.82,71.82,93,20,14.0
Itoman,26.12,73.2,73.4,94,20,13.87
Gat,14.69,78.8,78.8,57,0,16.11
Salisbury,51.07,54.37,55.99,81,90,3.36
Maple Creek,49.91,51.39,51.39,79,0,4.38
Taltal,-25.41,71.1,71.1,75,0,3.49
Orthez,43.49,58.57,62.6,36,0,5.82
Den Helder,52.96,48.7,50.0,87,90,5.82
Chokurdakh,70.62,-26.1,-26.1,40,0,8.97
Komsomolskiy,67.55,27.27,27.27,94,88,7.85
Taperoa,-7.21,81.18,81.18,77,44,5.39
Surubim,-7.84,87.8,87.8,52,40,9.17
Piney Green,35.09,52.47,55.0,100,90,9.17
Shieli,44.18,51.57,51.57,72,64,8.19
Coquimbo,-29.95,62.6,62.6,72,20,10.29
Wiarton,44.74,37.69,39.99,100,90,2.24
Babu,23.23,60.75,60.75,59,0,5.06
Voh,-20.95,78.3,78.3,100,80,10.76
Cap Malheureux,-19.98,81.0,82.4,78,40,10.29
Mount Isa,-20.73,78.8,78.8,54,0,6.93
Fomboni,-12.28,84.06,84.06,100,8,2.04
Ville-Marie,47.33,37.4,37.4,86,90,13.87
Tanhacu,-14.02,79.83,79.83,74,88,6.06
Bahir Dar,11.59,61.02,61.02,67,24,2.71
Huari,-9.35,46.71,46.71,94,76,2.37
Zyryanka,65.73,-19.17,-19.17,55,0,3.49
Katherine,-14.47,82.4,82.4,61,90,17.22
Naze,5.43,84.2,84.2,79,75,13.87
Bathsheba,13.22,82.4,82.4,65,75,13.87
Kuressaare,58.21,41.34,42.01,100,92,10.29
Igurubi,-4.0,72.27,72.27,75,48,1.03
Campbell River,50.02,45.54,50.0,86,75,3.36
Kyshtovka,56.56,20.7,20.7,84,0,12.55
Miri,10.31,88.47,88.47,42,64,2.59
Lakatoro,-16.11,80.01,80.01,96,56,6.62
Ostrovnoy,68.05,22.59,22.59,87,8,10.65
Berlevag,70.86,25.84,28.4,86,40,11.41
Vanavara,60.35,18.72,18.72,89,68,7.29
Anori,-3.74,86.49,86.49,78,44,3.6
Port Moresby,-9.47,82.89,82.89,92,0,7.96
Aklavik,68.22,16.83,17.6,78,90,19.46
Yurino,56.29,30.2,30.2,100,0,8.95
Angostura,25.37,84.42,84.42,28,0,3.6
Krasnaya Polyana,45.47,41.13,41.13,67,0,6.29
Raymond,43.04,47.52,50.0,36,90,10.29
Gorontalo,0.54,75.24,75.24,94,76,2.15
Beringovskiy,63.05,-7.74,-7.74,93,0,11.99
Jiuquan,39.73,7.56,7.56,58,0,2.15
Kandalaksha,67.15,25.02,25.02,82,92,3.38
Isugod,9.34,78.57,78.57,100,8,6.06
Mundo Nuevo,-32.72,66.38,69.8,67,0,14.99
Sun City West,33.66,61.74,66.99,54,1,5.82
Bemidji,47.48,40.33,46.99,96,1,13.87
Yinchuan,38.48,36.0,36.0,8,64,3.0
Aksu,52.04,24.8,24.8,92,0,6.71
Byron Bay,-28.65,71.42,73.0,94,40,5.84
Bukama,-9.2,80.64,80.64,69,24,3.15
Sitka,37.17,55.0,55.0,54,0,1.99
Arlit,18.74,81.0,81.0,26,20,5.61
Abnub,27.27,77.0,77.0,17,0,11.41
Hun,50.34,57.69,59.0,62,0,6.93
Touros,-5.2,89.6,89.6,66,75,12.75
Pointe Michel,15.25,84.2,84.2,62,75,13.87
Cockburn Town,21.46,81.0,81.0,94,0,8.52
Maldonado,-34.91,62.6,62.6,55,40,9.17
Namibe,-15.19,78.39,78.39,99,0,4.94
Stykkisholmur,65.08,35.1,35.1,98,88,16.8
Fort Walton Beach,30.41,62.33,64.4,36,1,16.11
Boa Vista,2.82,95.0,95.0,36,40,16.11
Baker City,44.77,46.47,46.99,49,1,2.59
Birao,10.3,87.39,87.39,18,12,8.63
Phuket,7.89,81.9,84.2,74,20,5.82
Limbang,4.75,79.2,80.6,94,75,1.12
Springbok,-29.67,68.04,68.04,17,0,5.95
Upata,8.02,93.42,93.42,36,0,7.85
Portland,45.52,50.92,53.01,71,90,3.38
Pisco,-13.71,71.6,71.6,30,0,9.17
Waitati,-45.75,61.0,61.0,92,20,2.93
Newbury,51.4,54.77,57.2,81,8,4.7
Topeka,39.05,48.29,52.0,55,1,8.05
Faya,18.39,65.34,66.2,52,0,12.75
Dalby,-27.18,71.76,72.0,88,0,10.29
Coachella,33.68,56.55,64.99,43,1,2.59
Bud,62.91,38.41,42.8,52,40,11.41
Geraldton,49.72,32.0,32.0,80,90,10.29
Turbat,26.0,62.28,62.28,82,0,3.71
Hambantota,6.12,80.19,80.19,100,20,7.74
Lixourion,38.2,64.53,66.2,68,0,5.82
Klerksdorp,-26.86,70.56,70.56,24,0,9.19
Nouadhibou,20.93,71.6,71.6,68,92,13.87
Asasa,7.1,62.46,62.46,33,92,4.38
Roebourne,-20.77,85.05,85.05,65,24,15.01
Kavieng,-2.57,83.07,83.07,100,12,6.29
Esso,55.93,-3.96,-3.96,67,12,2.04
Faanui,-16.48,84.42,84.42,100,92,5.73
Bara,10.41,92.7,92.7,38,8,1.14
Marsa Matruh,31.35,60.8,60.8,77,0,5.82
Kaeo,-35.1,62.01,62.01,95,48,7.52
Balkhash,46.84,23.04,23.04,82,24,3.38
Tiznit,29.7,64.98,64.98,78,0,4.72
Chapais,49.78,33.8,33.8,83,90,12.75
Chanika,-12.93,74.07,74.07,98,24,3.71
Tikhvin,59.64,26.01,26.01,88,20,5.28
Alabaster,33.24,57.0,61.0,50,75,11.41
Port Augusta,-32.49,67.91,70.0,88,0,10.29
Sangueya,10.7,87.48,87.48,32,8,10.87
Burnie,-41.05,59.25,62.01,96,56,4.0
Loukisia,38.48,55.33,60.01,58,20,16.11
Zhigansk,66.77,-6.66,-6.66,74,64,7.74
Corn Island,12.17,81.27,81.27,97,0,13.22
Lianran,24.92,57.11,57.2,33,0,13.42
Abalak,15.46,92.07,92.07,14,0,8.19
Manggar,-2.88,75.15,75.15,100,12,4.27
Fare,-16.7,83.88,83.88,99,56,3.6
Baruun-Urt,46.68,14.85,14.85,49,24,9.42
Tilichiki,60.47,6.12,6.12,80,24,6.4
La Romana,18.43,83.61,83.61,57,64,7.07
Kununurra,-15.77,84.2,84.2,74,24,10.29
Vardo,39.62,41.47,44.01,87,90,8.05
Yanam,16.73,77.0,77.0,73,0,6.73
Manoel Urbano,-8.84,86.4,86.4,73,56,2.93
Maumere,-8.63,82.8,82.8,98,36,13.0
Chunskiy,56.08,19.8,19.8,86,56,2.71
Havoysund,71.0,30.18,32.0,91,0,18.34
Abu Dhabi,24.47,71.6,71.6,83,0,10.29
Cuamba,-14.8,68.49,68.49,98,76,2.82
Filingue,14.35,94.14,94.14,17,0,6.85
Trelew,-43.25,71.64,71.64,34,88,19.26
Santiago,-33.44,77.22,81.0,29,0,3.36
Khelyulya,61.73,39.0,39.0,61,80,1.99
Jaciara,-15.95,77.76,77.76,94,92,5.39
Puerto Madryn,-42.77,66.51,66.51,62,88,26.31
Chara,39.42,59.0,59.0,54,20,5.82
Mnogovershinnyy,53.94,-9.54,-9.54,66,8,1.81
Una,-15.29,75.97,77.0,100,90,3.15
Pangai,-19.8,80.1,80.1,100,80,11.99
Cayenne,4.94,87.8,87.8,58,40,11.41
Port Pirie,-33.18,66.2,66.2,88,0,10.29
Vayalar,9.7,84.2,84.2,79,40,4.61
Yeppoon,-23.13,75.2,75.2,88,0,3.36
Antofagasta,-23.65,69.8,69.8,60,0,11.41
Dekernes,31.09,56.97,56.97,94,0,7.29
Praia da Vitoria,38.73,63.72,64.4,68,40,7.96
Agirish,61.92,27.9,27.9,89,0,5.73
Bubaque,11.28,81.72,81.72,88,0,13.67
Turayf,31.68,66.2,66.2,34,40,13.87
Katsuura,33.93,61.48,62.01,93,75,3.36
Miramar,10.09,78.75,80.6,44,0,18.34
Pilar,-34.46,67.26,70.0,52,40,9.17
Mahajanga,-15.72,82.4,82.4,88,20,2.24
Gigmoto,13.78,75.24,75.24,100,48,6.96
Port-Gentil,-0.72,86.0,86.0,79,40,10.29
Mackay,53.65,33.76,37.4,47,5,8.05
Ancud,-41.87,50.0,50.0,100,90,11.41
Tartagal,-22.52,63.36,63.36,92,92,8.52
Wesselsbron,-27.85,73.08,73.08,23,0,8.86
Kargil,34.56,12.6,12.6,88,88,0.92
Dunedin,-45.87,61.0,61.0,91,20,2.93
Shafranovo,53.97,24.84,24.84,87,80,2.93
Maryville,40.35,44.82,46.99,42,1,4.7
Lakes Entrance,-37.88,65.64,66.0,96,8,8.3
Abong Mbang,3.98,81.36,81.36,59,24,2.71
Hailey,43.52,37.4,37.4,44,75,13.87
Inirida,3.87,86.67,86.67,80,32,2.82
Saint-Joseph,43.56,60.87,64.4,36,0,4.7
Sovetskaya,44.78,46.0,46.0,7,88,13.0
Puerto Cabezas,14.04,86.0,86.0,58,75,6.93
Karratha,-20.74,85.05,85.05,65,24,15.01
Jalu,29.03,70.92,70.92,52,36,6.96
Manokwari,-0.87,80.19,80.19,100,48,11.99
Brightwater,-41.37,56.68,59.0,83,8,2.48
Kjollefjord,70.95,29.46,32.0,85,0,18.34
Zhanjiang,21.2,73.62,73.62,88,0,1.36
Turukhansk,65.8,23.94,23.94,87,88,10.98
Jadu,31.95,52.56,52.56,53,0,5.73
Flinders,-34.58,65.37,66.2,100,75,2.82
Genhe,50.78,0.36,0.36,66,48,2.82
Kiruna,67.86,30.2,30.2,92,90,10.29
Imbituba,-28.24,73.4,73.4,60,75,14.99
Kalkar,51.74,58.55,63.0,62,0,3.36
Shenjiamen,29.96,50.76,50.76,100,92,24.07
Bobbili,18.58,68.13,68.13,92,0,2.82
San Cristobal,-0.39,65.43,69.8,49,20,5.82
Balkanabat,39.51,43.65,43.65,86,80,3.15
Lagoa,37.14,64.29,66.0,42,20,12.75
Valley Station,33.35,57.16,61.0,50,75,11.41
Salalah,17.01,78.8,78.8,69,0,6.93
Kovdor,67.56,25.92,25.92,88,64,4.16
Keti Bandar,24.14,74.25,74.25,97,24,11.21
La Seyne-sur-Mer,43.1,59.95,63.0,38,0,5.82
Hay River,60.82,37.4,37.4,69,20,9.17
Beipiao,41.8,14.67,14.67,63,0,6.4
Wajir,1.75,98.6,98.6,30,20,5.82
Mehran,33.12,46.4,46.4,46,0,2.24
Artvin,41.18,48.2,48.2,76,75,0.81
Northam,51.04,51.78,54.0,81,75,6.93
Urucara,-2.54,85.5,85.5,76,64,3.38
Jiehu,35.54,32.49,32.49,62,44,4.16
Moerai,-22.43,79.02,79.02,100,44,15.01
Gushi,32.17,45.45,45.45,90,92,7.63
Roald,62.58,37.92,42.8,87,40,12.75
Ilo,-17.65,75.2,75.2,57,0,11.41
Bathurst,-33.42,60.66,61.0,84,76,17.0
Nelson Bay,-32.72,68.0,69.01,100,76,4.7
Hammerfest,70.66,30.42,32.0,68,0,6.93
Cortez,37.35,36.23,44.6,65,90,26.4
Bendigo,-36.76,66.0,66.0,52,48,5.95
Clarence Town,-32.59,68.0,69.01,100,68,4.7
Lincoln,53.23,58.05,60.01,67,20,8.05
Sorong,-0.86,81.99,81.99,100,56,6.17
Santa Cruz,36.97,53.67,57.0,66,1,3.15
Ambovombe,-25.18,78.12,78.12,87,80,7.63
Esperance,10.24,86.95,87.8,55,40,12.75
Talara,-4.58,62.6,62.6,290,0,6.93
Castelo do Piaui,-5.32,83.88,83.88,81,68,6.4
Rawson,-43.3,71.64,71.64,34,88,19.26
Capreol,46.71,36.48,37.99,77,90,9.17
